"","Org","Geo 1","Geo 2","Geo 3","Geo 4","Geo 5","Geo 6","Geo 7","Stage","Key Need 1","Key Need 2","Key Need 3","Key Need 4","Key Need 5","Key Need 6","Key Need 7","Challenge","Technology"
"15.0","WheeLog!","East and Southeast Asia","","","","","","","Pilot","Business model","Distribution","Technology","Financial","Legal","","","Community-Driven Innovation","Big Data; Crowd Sourced Service / Social Networks"
"16.0","Dost Education","South Asia","","","","","","","Pilot","Distribution","Talent Recruitment","Monitoring & Evaluation","Technology","","","","Early Childhood Development","Artificial Intelligence / Machine Learning; Behavioral Technology"
"17.0","EarlyBird","US and Canada","","","","","","","Pilot","Talent Recruitment","Marketing, Media, and Exposure","","","","","","Early Childhood Development","Behavioral Technology; Software and Mobile Applications"
"18.0","Khushi Baby","South Asia","","","","","","","Growth","Financial","Marketing, Media, and Exposure","Technology","","","","","Early Childhood Development","Artificial Intelligence / Machine Learning; Behavioral Technology; Big Data; Software and Mobile Applications"
"19.0","Kinedu","US and Canada","Latin America and the Caribbean","Europe and Central Asia","","","","","Growth","Technology","Other","Marketing, Media, and Exposure","","","","","Early Childhood Development","Artificial Intelligence / Machine Learning; Behavioral Technology; Big Data"
"20.0","Living First Languages Platform","Oceania","","","","","","","Growth","Distribution","Business model","Legal","Marketing, Media, and Exposure","Technology","Financial","Monitoring & Evaluation","Early Childhood Development","Ancestral Technology & Practices; Artificial Intelligence / Machine Learning"
"21.0","Mobile Village-Based Rehabilitation-Initiative","South Asia","","","","","","","Growth","Business model","Marketing, Media, and Exposure","Technology","","","","","Early Childhood Development","Big Data; Software and Mobile Applications"
"22.0","OneSky Caregiver Training","East and Southeast Asia","","","","","","","Growth","Business model","Technology","","","","","","Early Childhood Development","Audiovisual Media; Software and Mobile Applications"
"23.0","Tabshoura Tiny Thinkers","Middle East and North Africa","","","","","","","Growth","Business model","","","","","","","Early Childhood Development","Internet of Things"
"24.0","Blue Sky Analytics","South Asia","","","","","","","Pilot","Marketing, Media, and Exposure","Business model","Technology","","","","","Healthy Cities","Artificial Intelligence / Machine Learning; Big Data; Internet of Things"
"25.0","CareMother","South Asia","","","","","","","Growth","Other","Technology","Business model","Marketing, Media, and Exposure","Financial","","","Healthy Cities","Artificial Intelligence / Machine Learning"
"26.0","change:WATER Labs' iThrone: a waste-shrinking toilet","Sub-Saharan Africa","","","","","","","Prototype","Financial","Business model","Technology","","","","","Healthy Cities","Behavioral Technology; Biomimicry"
"27.0","Faircap Clean Water","Latin America and the Caribbean","Sub-Saharan Africa","","","","","","Pilot","Business model","Distribution","Technology","","","","","Healthy Cities","Behavioral Technology"
"28.0","OmniVis","South Asia","","","","","","","Prototype","Business model","","","","","","","Healthy Cities","Big Data; Internet of Things"
"29.0","RAAJI","South Asia","","","","","","","Prototype","Technology","","","","","","","Healthy Cities","Artificial Intelligence / Machine Learning"
"30.0","Salauno: Eye care for all","Latin America and the Caribbean","","","","","","","Growth","Technology","Marketing, Media, and Exposure","Business model","Financial","Monitoring & Evaluation","Legal","","Healthy Cities","Artificial Intelligence / Machine Learning; Big Data"
"31.0","Shape-Up","US and Canada","","","","","","","Prototype","Distribution","","","","","","","Healthy Cities","Artificial Intelligence / Machine Learning; Big Data"
