"Partners\Solvers","Status","Partner RM","Match Count","AIR-INK: Air-Pollution to ink","Aira","Algramo-Catalyzing Reusable Packaging","Blue Sky Analytics","CareMother","change:WATER Labs' iThrone: a waste-shrinking toilet","Dost Education","EarlyBird","Elpis Solar","Faircap Clean Water","Khushi Baby","Kinedu","Living First Languages Platform","Mobile Village-Based Rehabilitation-Initiative","MycoTech","OmniVis","OneSky Caregiver Training","POKET","Queen of Raw","RAAJI","BioCellection","Renewal Workshop","RETOS","RevelaGov","Rheaply","Salauno: Eye care for all","Shape-Up","Supercivicos app","Tabshoura Tiny Thinkers","The Future is Offline","WheeLog!","Xilinat"
"Draper Richards Kaplan Foundation","Intros made","Pooja","2.0","","","","","","","","","","Match","","","","","","","","Match","","","","","","","","","","","","","",""
"Fannie Mae","sent options + reminder","Sharon","2.0","","","","","","","","Match","","","","Match","","","","","","","","","","","","","","","","","","","",""
"Gary Community Investments","Hold","Eliza","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grupo Salinas","OK to make introductions","Alexander","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","Match","","Introduced","","","",""
"Heart Institute of the Caribbean","Intros made","Pooja","1.0","","","","","Match","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Henkel (Charles Paul)","sent options + reminder","Sharon","2.0","","","","","","","","","","","","","","","","","","","","","Match","","","","Match","","","","","","",""
"Henkel","see above","Sharon","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMPACT2030","Intros made","Pooja","2.0","","","","","","","","","","","","","","","","","","","","Match","","","","","","","","","Match","","",""
"Innovation Norway","Intros made","Pooja","2.0","","","Match","","","","","","","","","","","","","","","","","","","Match","","","","","","","","","",""
"Kevin Przybocki","Intros made","Pooja","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","Match","","","","","",""
"KSF Impact","","Bruna","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLamasoft","Intros Made ","Sharon","5.0","","","","","Match","Match","","","","","","Match","","","","","","","Match","","","","","","Match","","","","","","",""
"Mannin Research Inc.","Sent options","Patrick","1.0","","","","","","","","","","","","","","","","Match","","","","","","","","","","","","","","","",""
"Maria Cecilia Souto Vidigal Foundation","Send options to member. For RevelaGov: matches on geo and business model, could help connect them to networks","Sara","4.0","","","","","","","","Request - Partner","","","","Request - Partner","","","","","Request - Partner","","","","","","","Match","","","","","","","",""
"Miniwiz","Intro to Plastics for Change","Alexander","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIT (Ken Zolot)","Requested Ken","Carlos","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","Match","","","","","Match"
"MIT Environmental Solutions Initative (John Fernandez)","","Alexander","3.0","","","","Match","","","","","","","","","","","","","","","","Match","","","","","","Match","","","","","",""
"MIT Governance Lab (GOV/LAB)","All intros made","Carlos","4.0","","","","","","","","","","","","","","","","","","Request - Partner","","","","","Request - Partner","Request - Partner","","","","Request - Partner","","","",""
"New Orleans Health Department","Intros made","Pooja","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","Match","","","","",""
"Northrop Grumman Corporation","Sent options - Hold - switching POC at NG","Eliza","3.0","Match","","","","","","","","","","","","","","","","","","","","","","","Match","Match","","","","","","",""
"Putnam Associates","Intros made","Pooja","2.0","","","","Match","","","","","","","","","","","","","","","","","","","","","","Match","","","","","",""
"Robert Wood Johnson Foundation","Intros made","Pooja","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","Request - Partner","","","","",""
"Save the Children","Send options to Member","Sara","3.0","","","","","","","Match","","","Match","","","","","","","","","","","","","","","","","","","","Match?","",""
"Schmidt Marine Technology Partners","Hold","Sharon","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sitra","CE Solvers","Alexander","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Terranova Corporation","Intros made","Pooja","1.0","","","","","","","","","","","","","","","","","","","","","","","","Match","","","","","","","",""
"The Kroger Co. Zero Hunger Zero Waste Foundation","Intros Made","Sharon","4.0","","Match","Match","","","","","","","","","","","","","","","","","","Match","","","","Match","","","","","","",""
"The Pershing Square Foundation","sent options","Eliza","5.0","","","","","Match","","","","Match","","","","","","Match","","Match","","","","","Match","","","","","","","","","",""
"Uber","Made intro again","Carlos","2.0","","Match","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Match",""
"Yum! Brands","Hold","Sharon","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Match?"
"J&J","Sent options to Member","Pooja","2.0","","","","","","","","","","","","","","","","","","Match","","","","","","","Match","","","","","","",""
"Pfizer","Hold","Patrick","2.0","","","","","","","","","","","","","","","","","","Match","","","","","","","Match","","","","","","",""
"Business Finland","Intros made","Pooja","2.0","","","","","","","","Request - Partner","","","","Match?","","","","","","","","","","","","","","","","","","","",""
"Best Buy","Sent options","Sharon","1.0","","","","","","","","Match","","","","","","","","","","","","","","","","","","","","","","","",""
"Compassion International","Hold","Sara","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Flock","CE Solvers","Alexander","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Merian Ventures","Trying to reconnect with EarlyBird and Queen of Raw. Should ask if they want intros to Biocellection and BlueSky in this round.","Carlos","2.0","","","","Match","","","","","","","","","","","","","","","","","Match","","","","","","","","","","",""
"MIT J-WEL (George Westerman)","Sent email intro","Carlos","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Request - Partner","",""
"Mondi","CE Solvers","Alexander","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Olam International Ltd.","CE Solvers","Alexander","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RISE","CE Solvers","Alexander","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEED","CE Solvers","Alexander","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seed Global Health","Consider sending some Frontlines of Health teams","Pooja","1.0","","","","","","","","","","","","","","","","Match?","","","","","","","","","","","","","","","",""
"Cisco Systems, Inc.","Send options to Member","Alexander","1.0","","","","","Match","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tec de Monterrey","Hold","Eliza","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Blockchain Challenge Inc.","CE Solvers","Alexander","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Global Development Incubator","Send options to Member","Carlos","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Plastics Circle","CE Solvers","Alexander","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
