"Country","Region"
"Korea South","East and Southeast Asia"
"Togo","Sub-Saharan Africa"
"Bosnia Herzegovina","Europe and Central Asia"
"Malta","Europe and Central Asia"
"Latvia","Europe and Central Asia"
"Tajikistan","Europe and Central Asia"
"Slovakia","Europe and Central Asia"
"Central African Rep","Sub-Saharan Africa"
"Azerbaijan","Europe and Central Asia"
"El Salvador","Latin America and the Caribbean"
"Congo","Sub-Saharan Africa"
"Tonga","Oceania"
